"diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
,,,3.4558,,,,,,
,,,24,,,,,,
,,,8.947,,,,,,
,,,,,,,,,
,,,,,,,,,
1.406,,0.089,,,,,,,
0.335,,0.173,2.439,,,,,C,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.875,,0.161,68,,,,,T,
,,,,,,,,Sq,
,,,,,,,,,
,,,4.693,,,,,,
,,,,,,,,,
0.460,,0.408,,,,,,,
1.682,,0.172,6.231,,,,,,
,,,3.7663,,,,,,
0.735,,0.030,14.5,,,,,,
,,,2.42,,,,,,
,,,148.7,,,,,,
,,,,,,,,,
,,,,,,,,,
0.386,,0.516,5.649,,,,,,
0.791,,0.340,285,,,,,,
1.717,,0.198,2.343,,,,,,
,,,11.1,,,,,,
0.163,,0.219,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,38.69,,,,,,
0.9,,,3.925,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.796,,,,,,
,,,5.7516,,,,,S,
,,,,,,,,,
,,,2.722,,,,,,
1.196,,0.072,3.5942,,,,,C,
,,,,,,,,Sq,
,,,,,,,,,
,,,,,,,,,
,,,9.455,,,,,,
,,,,,,,,,
,,,2.5009,,,,,,
0.863,"0.992 x 0.938 x 0.964",0.137,2.7754,3.224e-8,,,,,
,,,,,,,,,
0.430,,0.199,,,,,,,
,,,,,,,,S,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,V,
,,,,,,,,X,
1.244,,0.055,6.802,,,,,X,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,4.3825,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,S,
,,,,,,,,,
0.376,,0.414,37.5,,,,,,
,,,,,,,,,
,,,4.48,,,,,,
0.423,,0.161,3.1499,,,,,,
,,,2.67,,,,,S:,
,,,,,,,,,
,,,,,,,,,
,,,102.24,,,,,,
0.488,,0.118,,,,,,,
,,,,,,,,,
,,,7.3,,,,,,
,,,0.042,,,,,,
,,,,,,,,,
,,,,,,,,,
1.4,,,8.55,,,,,,
,,,6.7906,,,,,,
,,,,,,,,,
0.432,,0.200,,,,,,,
,,,,,,,,,
0.482,,0.125,13.404,,,,,,
,,,,,,,,X,
,,0.253,4.194,,,,,,
0.217,,0.216,,,,,,,
0.55,,,39.905,,,,,,
,,,,,,,,,
0.344,,0.045,33,,,,,,
1.136,,0.042,7.18,,,,,,
,,,,,,,,,
2.914,,0.274,,,,,,,
1.989,,0.041,7.,,,,,,
,,,63.8,,,,,,
0.881,,0.091,2.313,,,,,,
0.495,,0.235,,,,,,,
,,,,,,,,,
0.654,,0.260,5.354,,,,,,
0.398,,0.147,,,,,,,
0.535,,0.322,7.,,,,,,
,,,2.718,,,,,,
,,,,,,,,,
0.291,,0.478,,,,,,,
,,,2.27,,,,,,
,,,,,,,,,
,,,7.66,,,,,,
0.785,,0.125,2.664,,,,,,
0.113,,0.037,,,,,,,
,,,,,,,,,
0.361,,0.310,6.479,,,,,,
,,,2.6534,,,,,,
,,,,,,,,,
0.562,,0.097,,,,,,,
0.439,,0.578,39.05,,,,,,
,,,2.4261,,,,,,
,,,,,,,,,
,,,129.5,,,,,,
0.888,,0.098,,,,,,,
,,,4.444,,,,,,
,,,3.9333,,,,,,
,,,2.595,,,,,,
0.439,,0.177,3.689,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,3.5,,,,,,
,,,4.749,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.740,,0.425,3.05785,,,,,,
1.199,,0.234,4.645,,,,,,
0.320,,,15,,,,,,
0.407,,0.388,6.314,,,,,,
0.4,,,,,,,,,
,,,,,,,,,
,,,13.97,,,,,,
0.187,,0.317,,,,,,,
0.780,,0.080,,,,,,,
,,,0.94345,,,,,,
,,,,,,,,,
,,,11,,,,,,
0.4,,,18,,,,,C,
